temporada,nombre,min_temp,temperatura,precipitacion,humedad,condiciones
2022,Monaco Grand Prix,23.7,23.9,0.0,71.1,Partially cloudy
2022,Spanish Grand Prix,29.9,30.3,0.0,31.6,Clear
2022,Bahrain Grand Prix,23.1,24.0,0.0,32.45,Clear
2020,Austrian Grand Prix,25.1,25.9,0.0,38.2,Partially cloudy
2022,French Grand Prix,31.7,32.1,0.0,48.34,Clear
2022,Saudi Arabian Grand Prix,27.0,29.0,0.0,29.69,Clear
2022,Hungarian Grand Prix,19.8,20.1,0.07,64.4,"Rain, Overcast"
2022,British Grand Prix,17.4,17.7,0.75,63.96,"Rain, Overcast"
2022,Abu Dhabi Grand Prix,30.0,30.0,0.0,50.71,Partially cloudy
2010,Chinese Grand Prix,13.7,14.8,0.0,85.12,Partially cloudy
2022,Emilia Romagna Grand Prix,13.5,14.8,2.22,73.43,"Rain, Partially cloudy"
2023,Saudi Arabian Grand Prix,25.9,26.3,0.0,43.78,Clear
2023,Australian Grand Prix,14.0,14.5,1.86,72.16,"Rain, Overcast"
2023,Miami Grand Prix,26.3,26.7,0.0,61.63,"Partially cloudy"
